name,url,url_resolved,homepage,favicon,country,countrycode,state,codec,bitrate,geo_lat,geo_long,Music Genre,Decade,Topic,Lang,Mood
	Arrow Classic Rock,http://stream.gal.io/arrow,http://stream.gal.io/arrow,https://www.arrow.nl/,https://www.arrow.nl/wp-content/uploads/2020/08/logo.png,The Netherlands,NL,,MP3,192,52.07963259545092,4.303894042968751,,,,,
	Hard Rock Radio FM,http://67.249.184.45:8015/listen.pls,http://67.249.184.45:8015/,https://hardrockradiofm.weebly.com/,,The United States Of America,US,NY,MP3,128,43.064015622124,-74.90702480077745,"metal,rock","80s,90s",,,
	Polskie Radio Bialystok,http://stream4.nadaje.com:15476/radiobialystok,http://stream4.nadaje.com:15476/radiobialystok,http://www.radio.bialystok.pl/,http://www.radio.bialystok.pl/favicon.ico,Poland,PL,,MP3,160,53.12895934801765,23.14600810575091,,,,polish,
	Tick Tock Radio - 1950,https://streaming.ticktock.radio/tt/1950/icecast.audio,https://nl4.mystreaming.net:443/tt/1950/icecast.audio,https://ticktock.radio/,https://ticktock.radio/static/assets/img/apple-icon-120x120.png,Finland,FI,,MP3,0,60.23980983862846,24.92578312754631,,50s,,,
	WDR Sportschau - 2. Fussball Bundesliga-Konferenz LIVE,http://wdr-sportschau-liga2konferenz.icecastssl.wdr.de/wdr/sportschau/liga2konferenz/mp3/high,http://f111.rndfnk.com/ard/wdr/sportschau/liga2konferenz/mp3/128/stream.mp3?cid=01FCTCEDGFT7H68HFSJPF7JSBG&sid=2yaFEntgLuwmhz2wRR3Sz2Zl7vS&token=l55dTH5M-2ueQ9_yYFoYm4UbY76BtlVrEpbqGvaJ9CQ&tvf=F5yMATCOSRhmMTExLnJuZGZuay5jb20,http://wdr.de/,,Germany,DE,NRW,MP3,128,50.92368207021104,6.970162960285244,,,,,
"   Radio Disney 94.3 - Buenos Aires, Argentina",https://playerservices.streamtheworld.com/api/livestream-redirect/DISNEY_ARG_BA_ADP.aac,https://26493.live.streamtheworld.com:443/DISNEY_ARG_BA_ADP.aac,https://ar.radiodisney.com/,https://cdn-profiles.tunein.com/s13659/images/logog.png,Argentina,AR,Ciudad de Buenos Aires,AAC+,128,-34.60106421695718,-58.39284896850587,"hits,pop,rock",,children,spanish,
"   Radio Disney 94.3 - Buenos Aires, Argentina",https://playerservices.streamtheworld.com/api/livestream-redirect/DISNEY_ARG_BA_ADP.aac,https://24493.live.streamtheworld.com:443/DISNEY_ARG_BA_ADP.aac,https://ar.radiodisney.com/,https://cdn-profiles.tunein.com/s13659/images/logog.png,Mexico,MX,Ciudad de Buenos Aires,AAC+,128,-34.60159629396779,-58.38469505310059,"hits,pop,rock",,children,spanish,
  EXA FM: En Todas Partes Ponte Exa,https://playerservices.streamtheworld.com/api/livestream-redirect/XHPSFMAAC.aac,https://27063.live.streamtheworld.com:443/XHPSFMAAC.aac,https://www.exafm.com/,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/092013/exa.jpg,Mexico,MX,,AAC+,48,19.15405047487524,-96.10851913690568,rock,,,spanish,
"  Stereorey: 100.9 FM - Aguascalientes, México. La Máxima Dimensión del Radio.",https://hls.gvstream.live/radiouniversal/life1009.stream/playlist.m3u8,https://hls.gvstream.live/radiouniversal/life1009.stream/playlist.m3u8,https://stereorey.com/,https://i.ibb.co/7kcyNhD/Stereorey-Aguascalientes.png,Mexico,MX,"Aguascalientes, Aguascalientes",AAC,32,21.884926314879024,-102.29473114013672,"hits,pop",,,"english,spanish",
  STEREOREY: La Máxima Dimensión del Radio,https://playerservices.streamtheworld.com/api/livestream-redirect/STEREOREYAAC.aac,https://14153.live.streamtheworld.com:443/STEREOREYAAC.aac,https://www.stereorey.com/,https://cdn-radiotime-logos.tunein.com/s220691d.png,Mexico,MX,Ciudad de México,AAC+,48,19.430494810569368,-99.18051213026048,"oldies,rock",,,"english,spanish",
